transaction_id,user_id,sender_upi,receiver_upi,amount,timestamp,device_id,location,is_new_device,transaction_velocity,avg_transaction_amount,amount_deviation,hour_of_day,is_night,failed_attempts_last_24h,account_age_days,merchant_risk_score,graph_risk_score,behavior_score,label,transaction_type,fraud_pattern,scenario_profile
TXN_20260101_0000070,user_00670,user_00670@okbank,merchant_01524@upi,4275.28,2026-01-01T00:18:00,DEV_00670_A,Mumbai,0,1,2932.42,1.192,0,1,0,2633,0.1794,0.3236,0.0855,0,bill_payment,normal,standard
TXN_20260101_0005507,user_00634,user_00634@okbank,refund.support.helpdesk.7@upi,3661.03,2026-01-01T03:41:00,DEV_00634_A,Pune,0,13,1453.09,5.0782,3,1,5,783,0.8409,0.694,0.8384,1,transfer,unusual_time_medium_deviation,fraud_severe
TXN_20260101_0004365,user_00032,user_00032@okbank,refund.support.helpdesk.115@upi,3451.32,2026-01-01T04:00:00,DEV_00032_A,Chennai,0,8,1050.01,4.8849,4,1,4,2010,0.6851,0.7195,0.7509,1,transfer,unusual_time_medium_deviation,fraud_severe
TXN_20260101_0005162,user_01218,user_01218@okbank,merchant_00353@upi,781.05,2026-01-01T04:34:00,DEV_01218_A,Kolkata,0,2,894.03,-0.2518,4,1,0,190,0.235,0.3152,0.0387,0,transfer,normal,standard
TXN_20260101_0002873,user_01121,user_01121@okbank,merchant_00425@upi,10535.76,2026-01-01T04:39:00,DEV_DEV_002873,Kolkata,1,3,1671.13,12.8876,4,1,5,1798,0.5216,0.6354,0.7817,1,transfer,large_amount_deviation,fraud_severe
TXN_20260101_0002481,user_00044,user_00044@okbank,merchant_00804@upi,1036.81,2026-01-01T07:33:00,DEV_00044_A,Bengaluru,0,2,948.19,0.2979,7,0,1,3265,0.1025,0.1,0.0,0,purchase,normal,standard
TXN_20260101_0002564,user_00595,user_00595@okbank,merchant_01582@upi,985.0,2026-01-01T07:38:00,DEV_00595_A,Chennai,0,1,1169.51,-0.3794,7,0,3,471,0.1172,0.2043,0.0,0,purchase,normal,standard
TXN_20260101_0004131,user_00213,user_00213@okbank,merchant_01614@upi,531.64,2026-01-01T07:52:00,DEV_00213_A,Hyderabad,0,3,443.76,0.8172,7,0,0,2454,0.2764,0.131,0.0728,0,bill_payment,normal,standard
TXN_20260101_0004745,user_00284,user_00284@okbank,merchant_00905@upi,1926.48,2026-01-01T08:54:00,DEV_00284_A,Pune,0,1,2078.28,-0.2789,8,0,1,3533,0.2196,0.1289,0.0399,0,transfer,normal,standard
TXN_20260101_0004103,user_01201,user_01201@okbank,merchant_01134@upi,2217.57,2026-01-01T09:54:00,DEV_01201_A,Mumbai,0,4,2219.77,-0.0028,9,0,1,2477,0.1288,0.267,0.0884,0,recharge,normal,normal_edge_normal_night_low_amount
TXN_20260101_0000904,user_01128,user_01128@okbank,merchant_00052@upi,443.13,2026-01-01T10:17:00,DEV_01128_A,Hyderabad,0,3,263.48,1.3841,10,0,2,1636,0.332,0.4124,0.0214,0,transfer,normal,standard
TXN_20260101_0004991,user_00783,user_00783@okbank,merchant_00604@upi,3200.75,2026-01-01T10:26:00,DEV_00783_A,Ahmedabad,0,1,2180.8,0.8847,10,0,0,1300,0.2813,0.5441,0.095,0,transfer,normal,standard
TXN_20260101_0000650,user_00281,user_00281@okbank,merchant_01241@upi,1509.02,2026-01-01T10:32:00,DEV_00281_A,Bengaluru,0,2,974.56,1.3099,10,0,0,1083,0.1852,0.3695,0.1541,0,purchase,normal,standard
TXN_20260101_0004647,user_01211,user_01211@okbank,merchant_01024@upi,1036.12,2026-01-01T10:53:00,DEV_01211_A,Kolkata,0,1,1688.71,-1.7293,10,0,0,2785,0.3049,0.3488,0.1217,0,purchase,normal,standard
TXN_20260101_0004493,user_00710,user_00710@okbank,refund.support.helpdesk.243@upi,4657.12,2026-01-01T10:54:00,DEV_NIGHT_004493,Mumbai,1,12,1577.13,7.1277,10,0,5,1124,0.8157,0.8682,0.8309,1,transfer,unusual_time_medium_deviation,fraud_severe
TXN_20260101_0003036,user_00783,user_00783@okbank,merchant_00888@upi,2694.52,2026-01-01T10:54:00,DEV_00783_A,Ahmedabad,0,4,2528.16,0.1443,10,0,1,1300,0.4143,0.149,0.0092,0,transfer,normal,standard
TXN_20260101_0001469,user_01158,user_01158@okbank,merchant_01594@upi,1074.26,2026-01-01T10:56:00,DEV_01158_A,Ahmedabad,0,3,2687.17,-1.2983,10,0,2,2128,0.2004,0.1318,0.0964,0,purchase,normal,standard
TXN_20260101_0003079,user_01270,user_01270@okbank,merchant_01612@upi,2112.16,2026-01-01T11:37:00,DEV_01270_B,Kolkata,1,5,1420.99,1.6193,11,0,2,821,0.1431,0.3303,0.4115,0,purchase,normal,standard
TXN_20260101_0002662,user_01045,user_01045@okbank,merchant_01503@upi,4642.99,2026-01-01T11:38:00,DEV_01045_A,Hyderabad,0,2,4663.35,-0.0153,11,0,1,2843,0.073,0.4346,0.1154,0,transfer,normal,standard
TXN_20260101_0001293,user_01220,user_01220@okbank,merchant_00772@upi,678.04,2026-01-01T11:47:00,DEV_01220_A,Mumbai,0,4,572.63,0.3729,11,0,1,3433,0.1385,0.1991,0.031,0,purchase,normal,standard
TXN_20260101_0003795,user_00854,user_00854@okbank,merchant_01330@upi,453.88,2026-01-01T11:55:00,DEV_00854_B,Pune,1,1,672.0,-1.1648,11,0,0,1324,0.3322,0.3275,0.3219,0,recharge,normal,standard
TXN_20260101_0000627,user_01038,user_01038@okbank,merchant_00899@upi,1099.8,2026-01-01T12:39:00,DEV_01038_A,Bengaluru,0,3,631.76,1.5874,12,0,3,2639,0.4126,0.0494,0.2453,0,recharge,normal,standard
TXN_20260101_0001997,user_01039,user_01039@okbank,merchant_00242@upi,1356.27,2026-01-01T12:52:00,DEV_01039_A,Mumbai,0,1,1428.84,-0.1692,12,0,3,1636,0.1074,0.0764,0.0,0,purchase,normal,standard
TXN_20260101_0004257,user_01090,user_01090@okbank,merchant_01588@upi,1786.26,2026-01-01T13:19:00,DEV_01090_A,Chennai,0,2,1458.5,1.0825,13,0,1,2172,0.1386,0.258,0.1809,0,purchase,normal,standard
TXN_20260101_0000101,user_00188,user_00188@okbank,merchant_01684@upi,523.21,2026-01-01T14:19:00,DEV_00188_A,Chennai,0,1,578.91,-0.2812,14,0,3,2820,0.11,0.0727,0.0531,0,purchase,normal,standard
TXN_20260101_0003254,user_01235,user_01235@okbank,merchant_01406@upi,169.58,2026-01-01T14:21:00,DEV_01235_A,Pune,0,3,755.31,-1.5476,14,0,0,3368,0.3393,0.165,0.0599,0,transfer,normal,standard
TXN_20260101_0002580,user_00573,user_00573@okbank,merchant_01478@upi,3337.42,2026-01-01T15:15:00,DEV_00573_A,Pune,0,1,3962.32,-0.6009,15,0,0,3156,0.3622,0.5323,0.0,0,purchase,normal,standard
TXN_20260101_0002065,user_01390,user_01390@okbank,merchant_00196@upi,1834.67,2026-01-01T17:45:00,DEV_01390_A,Bengaluru,0,1,924.22,2.0337,17,0,0,1469,0.2693,0.1416,0.2065,0,transfer,normal,normal_edge_normal_high_amount_known_device
TXN_20260101_0004747,user_00852,user_00852@okbank,merchant_01364@upi,1199.15,2026-01-01T18:20:00,DEV_00852_A,Chennai,0,1,1001.9,0.4266,18,0,0,2154,0.233,0.1537,0.0661,0,bill_payment,normal,standard
TXN_20260101_0005842,user_01306,user_01306@okbank,merchant_00048@upi,516.58,2026-01-01T18:21:00,DEV_01306_A,Kolkata,0,1,483.21,0.1564,18,0,0,1628,0.0672,0.1184,0.0318,0,purchase,normal,standard
TXN_20260101_0004596,user_00338,user_00338@okbank,merchant_01682@upi,19.28,2026-01-01T18:22:00,DEV_00338_A,Kolkata,0,3,1429.51,-2.1772,18,0,0,2350,0.1738,0.3927,0.2287,0,purchase,normal,standard
TXN_20260101_0000232,user_00944,user_00944@okbank,merchant_01092@upi,1701.25,2026-01-01T18:28:00,DEV_00944_A,Kolkata,0,1,1593.63,0.2927,18,0,1,2207,0.0914,0.3847,0.0543,0,bill_payment,normal,standard
TXN_20260101_0001452,user_00507,user_00507@okbank,merchant_00227@upi,3454.37,2026-01-01T18:49:00,DEV_00507_A,Pune,0,1,3518.67,-0.0715,18,0,2,1947,0.2574,0.2534,0.0,0,bill_payment,normal,standard
TXN_20260101_0005982,user_00103,user_00103@okbank,merchant_00420@upi,1458.01,2026-01-01T19:00:00,DEV_00103_A,Mumbai,0,1,1440.19,0.0372,19,0,0,921,0.0463,0.082,0.0277,0,bill_payment,normal,standard
TXN_20260101_0000239,user_01066,user_01066@okbank,merchant_01164@upi,422.87,2026-01-01T19:19:00,DEV_01066_A,Chennai,0,1,1670.6,-2.1493,19,0,0,1636,0.3271,0.457,0.1986,0,bill_payment,normal,standard
TXN_20260101_0000469,user_00187,user_00187@okbank,merchant_00696@upi,8578.65,2026-01-01T20:01:00,DEV_VEL_000469,Chennai,1,48,1849.38,8.9233,20,0,11,976,0.7255,0.6889,1.0,1,transfer,high_velocity_no_new_device,fraud_severe
TXN_20260101_0001346,user_00443,user_00443@okbank,merchant_01549@upi,8561.73,2026-01-01T20:06:00,DEV_00443_A,Mumbai,0,53,3077.15,4.3208,20,0,9,1217,0.6755,0.6555,0.9642,1,transfer,high_velocity_no_new_device,fraud_severe
TXN_20260101_0001536,user_01309,user_01309@okbank,merchant_00901@upi,819.47,2026-01-01T20:08:00,DEV_01309_A,Pune,0,1,1632.12,-1.6291,20,0,1,3271,0.155,0.2883,0.0843,0,purchase,normal,standard
TXN_20260101_0000816,user_01152,user_01152@okbank,merchant_00934@upi,5195.32,2026-01-01T20:10:00,DEV_01152_A,Chennai,0,3,5173.59,0.0076,20,0,0,239,0.0933,0.3056,0.0,0,transfer,normal,standard
TXN_20260101_0001570,user_00894,user_00894@okbank,merchant_00679@upi,780.27,2026-01-01T20:18:00,DEV_00894_A,Ahmedabad,0,2,808.4,-0.1013,20,0,2,2129,0.1288,0.1652,0.0,0,purchase,normal,standard
TXN_20260101_0000810,user_00254,user_00254@okbank,merchant_01443@upi,2378.08,2026-01-01T20:26:00,DEV_TRAVEL_000810,Ahmedabad,1,5,1972.2,0.4179,20,0,1,2165,0.342,0.2292,0.4706,0,bill_payment,normal,normal_edge_normal_new_device_low_value
TXN_20260101_0001021,user_01127,user_01127@okbank,merchant_01676@upi,1482.09,2026-01-01T20:41:00,DEV_01127_A,Pune,0,1,1555.9,-0.1105,20,0,0,2988,0.2426,0.2166,0.0265,0,transfer,normal,standard
TXN_20260101_0003172,user_00190,user_00190@okbank,merchant_00583@upi,1280.32,2026-01-01T20:52:00,DEV_00190_A,Ahmedabad,0,1,1714.87,-0.529,20,0,0,966,0.3427,0.1368,0.0395,0,recharge,normal,standard
